Function,Dimension,Variant,VariantN,DE2AcPSON,VariantMean,DE2AcPSOMean,VariantMedian,DE2AcPSOMedian,RawP,HolmP,A12DE2VsVariant,Sign
1,500,w/o ACDP,20,20,57.4406746620075,133.644053112182,53.4291738081931,97.0967332369695,0.000374990409081375,0.0014999616363255,0.17,+
1,500,w/o PDI,20,20,99.0839341130706,133.644053112182,88.9427312311886,97.0967332369695,0.323481745921691,0.970445237765074,0.4075,=
1,500,w/o RATR,20,20,342197.550968844,133.644053112182,349747.077816802,97.0967332369695,6.79561512817339e-08,1.63094763076161e-06,1,-
5,500,w/o ACDP,20,20,28917370.1847857,418763.251653126,2261277.44860735,401255.627932983,0.000144382559315279,0.00101067791520695,0.8525,-
5,500,w/o PDI,20,20,465862352.758422,418763.251653126,430464171.848117,401255.627932983,6.79561512817339e-08,1.63094763076161e-06,1,-
5,500,w/o RATR,20,20,483612444.65779,418763.251653126,508533416.019468,401255.627932983,6.79561512817339e-08,1.63094763076161e-06,1,-
8,500,w/o ACDP,20,20,-27809.3187061767,-28398.518593696,-28829.7945395945,-29592.7326841589,0.675014156650488,0.970445237765074,0.54,=
8,500,w/o PDI,20,20,-16617.7971466714,-28398.518593696,-16362.3417490431,-29592.7326841589,0.000179363785289462,0.00107618271173677,0.8475,-
8,500,w/o RATR,20,20,-49373.8518794111,-28398.518593696,-48375.4095814293,-29592.7326841589,6.79561512817339e-08,1.63094763076161e-06,0,+
9,500,w/o ACDP,20,20,4319.7265129396,3798.69033442734,4256.55652840088,3756.55500352025,8.59744481757153e-06,6.87795585405723e-05,0.9125,-
9,500,w/o PDI,20,20,6867.57245924313,3798.69033442734,6901.14697412726,3756.55500352025,6.79561512817339e-08,1.63094763076161e-06,1,-
9,500,w/o RATR,20,20,5911.59544405452,3798.69033442734,5800.43795190679,3756.55500352025,6.79561512817339e-08,1.63094763076161e-06,1,-
10,500,w/o ACDP,20,20,19.9705647231364,8.30485356384825,19.9667696688162,8.26417539696916,6.79561512817339e-08,1.63094763076161e-06,1,-
10,500,w/o PDI,20,20,20.2080389110746,8.30485356384825,20.2378970389134,8.26417539696916,6.79561512817339e-08,1.63094763076161e-06,1,-
10,500,w/o RATR,20,20,19.868729478864,8.30485356384825,20.0557363242378,8.26417539696916,6.79561512817339e-08,1.63094763076161e-06,1,-
11,500,w/o ACDP,20,20,1.46765064670455,2.15325416081348,1.43782864306502,1.79022780005337,0.000179363785289462,0.00107618271173677,0.1525,+
11,500,w/o PDI,20,20,2.26238725833475,2.15325416081348,2.13323497918912,1.79022780005337,0.323481745921691,0.970445237765074,0.5925,=
11,500,w/o RATR,20,20,3128.99507600809,2.15325416081348,3072.26413676764,1.79022780005337,6.79561512817339e-08,1.63094763076161e-06,1,-
12,500,w/o ACDP,20,20,459099960.538881,19225502.1517434,418577563.088886,1472.1046108887,2.56294586339567e-07,2.3066512770561e-06,0.9775,-
12,500,w/o PDI,20,20,1477804904.28245,19225502.1517434,1329694868.62526,1472.1046108887,6.79561512817339e-08,1.63094763076161e-06,1,-
12,500,w/o RATR,20,20,470441950.639324,19225502.1517434,427290890.747499,1472.1046108887,2.21776433009225e-07,2.21776433009225e-06,0.98,-
13,500,w/o ACDP,20,20,653144146.876234,5120107.38215267,506039988.708339,98262.4363609794,1.65707929338588e-07,1.82278722272447e-06,0.985,-
13,500,w/o PDI,20,20,2404388493.89154,5120107.38215267,2266836344.39545,98262.4363609794,6.79561512817339e-08,1.63094763076161e-06,1,-
13,500,w/o RATR,20,20,1247619014.6986,5120107.38215267,994928645.879421,98262.4363609794,6.79561512817339e-08,1.63094763076161e-06,1,-
