Algorithm,Scenario,Run,Dimension,ProblemVersion,FinalFE,Status,Seconds,Message
L2SMEA,1,1,500,obstacle-aware-v2,1000,initialization-only,2.839276,worker completed
L2SMEA,1,2,500,obstacle-aware-v2,1000,initialization-only,2.9008792,worker completed
L2SMEA,1,3,500,obstacle-aware-v2,1000,initialization-only,2.8062509,worker completed
L2SMEA,1,4,500,obstacle-aware-v2,1000,initialization-only,2.9498765,worker completed
L2SMEA,1,5,500,obstacle-aware-v2,1000,initialization-only,3.8662153,worker completed
L2SMEA,1,6,500,obstacle-aware-v2,1000,initialization-only,4.0399433,worker completed
L2SMEA,1,7,500,obstacle-aware-v2,1000,initialization-only,3.899641,worker completed
L2SMEA,1,8,500,obstacle-aware-v2,1000,initialization-only,3.9955274,worker completed
L2SMEA,1,9,500,obstacle-aware-v2,1000,initialization-only,3.8661936,worker completed
L2SMEA,1,10,500,obstacle-aware-v2,1000,initialization-only,3.9290028,worker completed
L2SMEA,1,11,500,obstacle-aware-v2,1000,initialization-only,3.9743259,worker completed
L2SMEA,1,12,500,obstacle-aware-v2,1000,initialization-only,4.0991483,worker completed
L2SMEA,1,13,500,obstacle-aware-v2,1000,initialization-only,4.5976093,worker completed
L2SMEA,1,14,500,obstacle-aware-v2,1000,initialization-only,5.3123837,worker completed
L2SMEA,1,15,500,obstacle-aware-v2,1000,initialization-only,5.0476946,worker completed
L2SMEA,1,16,500,obstacle-aware-v2,1000,initialization-only,6.0961739,worker completed
L2SMEA,1,17,500,obstacle-aware-v2,1000,initialization-only,11.191043,worker completed
L2SMEA,1,18,500,obstacle-aware-v2,1000,initialization-only,11.1767222,worker completed
L2SMEA,1,19,500,obstacle-aware-v2,1000,initialization-only,11.4460295,worker completed
L2SMEA,1,20,500,obstacle-aware-v2,1000,initialization-only,11.0470577,worker completed
L2SMEA,2,1,500,obstacle-aware-v2,1000,initialization-only,11.8899147,worker completed
L2SMEA,2,2,500,obstacle-aware-v2,1000,initialization-only,12.0101312,worker completed
L2SMEA,2,3,500,obstacle-aware-v2,1000,initialization-only,12.0748875,worker completed
L2SMEA,2,4,500,obstacle-aware-v2,1000,initialization-only,12.1740516,worker completed
L2SMEA,2,5,500,obstacle-aware-v2,1000,initialization-only,11.9751697,worker completed
L2SMEA,2,6,500,obstacle-aware-v2,1000,initialization-only,12.1248963,worker completed
L2SMEA,2,7,500,obstacle-aware-v2,1000,initialization-only,11.8683239,worker completed
L2SMEA,2,8,500,obstacle-aware-v2,1000,initialization-only,12.0679117,worker completed
L2SMEA,2,9,500,obstacle-aware-v2,1000,initialization-only,11.8641668,worker completed
L2SMEA,2,10,500,obstacle-aware-v2,1000,initialization-only,12.8323045,worker completed
L2SMEA,2,11,500,obstacle-aware-v2,1000,initialization-only,11.9375585,worker completed
L2SMEA,2,12,500,obstacle-aware-v2,1000,initialization-only,12.1257163,worker completed
L2SMEA,2,13,500,obstacle-aware-v2,1000,initialization-only,3.4495612,worker completed
L2SMEA,2,14,500,obstacle-aware-v2,1000,initialization-only,3.3170144,worker completed
L2SMEA,2,15,500,obstacle-aware-v2,1000,initialization-only,3.4488932,worker completed
L2SMEA,2,16,500,obstacle-aware-v2,1000,initialization-only,2.8814019,worker completed
L2SMEA,2,17,500,obstacle-aware-v2,1000,initialization-only,2.6343369,worker completed
L2SMEA,2,18,500,obstacle-aware-v2,1000,initialization-only,2.535059,worker completed
L2SMEA,2,19,500,obstacle-aware-v2,1000,initialization-only,2.6516586,worker completed
L2SMEA,2,20,500,obstacle-aware-v2,1000,initialization-only,2.5678693,worker completed
SADEAMSS,1,1,500,obstacle-aware-v2,1000,completed,159.7972442,worker completed
SADEAMSS,1,2,500,obstacle-aware-v2,1000,completed,159.364671,worker completed
SADEAMSS,1,3,500,obstacle-aware-v2,1000,completed,160.3032579,worker completed
SADEAMSS,1,4,500,obstacle-aware-v2,1000,completed,159.6817914,worker completed
SADEAMSS,1,5,500,obstacle-aware-v2,1000,completed,153.3047417,worker completed
