Factor,FactorSymbol,Level,R2Gate,PDIProbability,CandidateMultiplier,EliteArchiveSize,Dimension,Run,Seed,FinalFE,FinalObjective,RuntimeSeconds,Status
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,1,844730,1000,0.0127638686974662,20.8253762,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,2,844731,1000,0.00969009008445532,21.0956736,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,3,844732,1000,0.00104146791752924,20.9131633,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,4,844733,1000,0.0123934662321078,20.9876194,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,5,844734,1000,0.000184963597242849,20.6877286,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,6,844735,1000,0.0234173582563415,20.6238092,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,7,844736,1000,0.00673051941084513,23.2488522,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,8,844737,1000,0.0341453987946556,20.9004759,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,9,844738,1000,0.000639711084850947,20.6381126,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,30,10,844739,1000,0.0189982281451692,20.6590944,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,1,1314730,1000,2.38825358974579,181.845116,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,2,1314731,1000,1.34308375547546,181.1959565,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,3,1314732,1000,3.11107414672438,181.3999046,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,4,1314733,1000,1.88030248723818,181.074105,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,5,1314734,1000,1.40442586825237,182.3625521,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,6,1314735,1000,1.25520826361705,180.2117822,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,7,1314736,1000,1.83017361753676,182.8367167,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,8,1314737,1000,1.79013644475639,180.9236569,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,9,1314738,1000,1.39913069439839,183.1625463,completed
R2Gate,$\tau_{R^2}$,0,0,0.2,20,50,500,10,1314739,1000,2.03270669708533,187.6320486,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,1,844730,1000,0.0127638686974662,20.8279504,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,2,844731,1000,0.00969009008445532,20.904762,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,3,844732,1000,0.00104146791752924,21.2775544,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,4,844733,1000,0.0123934662321078,21.174615,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,5,844734,1000,0.000184963597242849,21.1535832,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,6,844735,1000,0.0234173582563415,22.0591508,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,7,844736,1000,0.00673051941084513,21.6527211,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,8,844737,1000,0.0341453987946556,22.0108042,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,9,844738,1000,0.000639711084850947,21.2351633,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,30,10,844739,1000,0.0189982281451692,21.5009695,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,1,1314730,1000,2.38825358974579,179.3421998,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,2,1314731,1000,1.34308375547546,181.2339376,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,3,1314732,1000,3.11107414672438,180.5979985,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,4,1314733,1000,1.88030248723818,180.5222225,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,5,1314734,1000,1.40442586825237,181.2896122,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,6,1314735,1000,1.25520826361705,185.6952192,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,7,1314736,1000,1.83017361753676,183.5337,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,8,1314737,1000,1.79013644475639,182.5120655,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,9,1314738,1000,1.39913069439839,188.044726,completed
R2Gate,$\tau_{R^2}$,0.05,0.05,0.2,20,50,500,10,1314739,1000,2.03270669708533,183.8178979,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,1,844730,1000,0.0127638686974662,20.7646939,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,2,844731,1000,0.00969009008445532,20.7591139,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,3,844732,1000,0.00104146791752924,20.8480082,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,4,844733,1000,0.0123934662321078,20.8129871,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,5,844734,1000,0.000184963597242849,21.1655482,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,6,844735,1000,0.0234173582563415,21.2831551,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,7,844736,1000,0.00673051941084513,22.7102965,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,8,844737,1000,0.0341453987946556,21.3879242,completed
R2Gate,$\tau_{R^2}$,0.1,0.1,0.2,20,50,30,9,844738,1000,0.000639711084850947,21.473697,completed
