Factor,FactorSymbol,Level,Dimension,NCompleted,MeanObjective,StdObjective,MedianObjective,IQRObjective,MeanRuntimeSeconds,CompletionRate,IsDefault,FriedmanP,WilcoxonPVsDefault,HolmPVsDefault,MedianDifferenceVsDefault
R2Gate,$\tau_{R^2}$,0,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.05799054,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,182.26443849,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.05,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.37972739,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.05,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,182.65895792,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.1,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.3383131,1,1,1,NaN,NaN,NaN
R2Gate,$\tau_{R^2}$,0.1,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,183.03291872,1,1,1,NaN,NaN,NaN
R2Gate,$\tau_{R^2}$,0.2,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,20.96936514,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.2,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,182.55031707,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.3,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.31472372,1,0,1,1,1,0
R2Gate,$\tau_{R^2}$,0.3,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,183.17631554,1,0,1,1,1,0
PDIProbability,$p_{\mathrm{PDI}}$,0,30,10,0.0175320682115993,0.0167522260916389,0.00958383798176971,0.019188466486871,21.69592357,1,0,0.223655111059765,0.275390625,1,0.00424864911248468
PDIProbability,$p_{\mathrm{PDI}}$,0,500,10,1.77818602743373,0.294609965564372,1.66404598412634,0.514210818985318,182.32967416,1,0,0.8647595754306,0.845703125,1,0.0627605078463158
PDIProbability,$p_{\mathrm{PDI}}$,0.1,30,10,0.01371103471888,0.013503953335456,0.00885293860614361,0.0215940317763224,21.31019752,1,0,0.223655111059765,0.921875,1,-0.00048003764355381
PDIProbability,$p_{\mathrm{PDI}}$,0.1,500,10,2.06913057097946,0.5867374905485,2.04186685943735,1.04277612895852,181.96818003,1,0,0.8647595754306,0.4921875,1,0.319046703594203
PDIProbability,$p_{\mathrm{PDI}}$,0.2,30,10,0.0120005072220664,0.0110168156688055,0.0110417781582816,0.0179567602276399,21.3383131,1,1,0.223655111059765,NaN,NaN,NaN
PDIProbability,$p_{\mathrm{PDI}}$,0.2,500,10,1.84344955648301,0.570616945082487,1.81015503114658,0.633576002686941,183.03291872,1,1,0.8647595754306,NaN,NaN,NaN
PDIProbability,$p_{\mathrm{PDI}}$,0.3,30,10,0.0135719785625758,0.0140613817660619,0.00939637446530894,0.0221868705551723,21.36906896,1,0,0.223655111059765,0.6953125,1,0.00047335584815511
PDIProbability,$p_{\mathrm{PDI}}$,0.3,500,10,1.89819197366146,0.638023725256872,1.57281632485451,0.989144595830476,182.90466274,1,0,0.8647595754306,0.921875,1,-0.0218172447228809
PDIProbability,$p_{\mathrm{PDI}}$,0.4,30,10,0.010200966600115,0.0153628570761737,0.00418470848503,0.00522083739033352,21.28733492,1,0,0.223655111059765,0.49609375,1,-0.000366168553484147
PDIProbability,$p_{\mathrm{PDI}}$,0.4,500,10,1.89101635250023,0.384611563823636,1.9282781706625,0.482652013114668,178.47909565,1,0,0.8647595754306,1,1,0.261755983225027
CandidateMultiplier,$\kappa_c$,1,30,10,0.0158532888787639,0.0157004231582497,0.0129120018587496,0.0248422561896745,16.15928203,1,0,0.516363200201633,0.76953125,1,0.000806151246487086
CandidateMultiplier,$\kappa_c$,1,500,10,1.91226971893666,0.456801595669607,1.88718904266114,0.583983824921522,97.87744897,1,0,0.923262834718025,0.921875,1,-0.0503995309594421
CandidateMultiplier,$\kappa_c$,2,30,10,0.0137222969510074,0.0166812337938686,0.00593754325772256,0.0316395712330338,16.39247649,1,0,0.516363200201633,0.76953125,1,0.000848656818061178
